name,redshift,observable_type,value,error,rs_fiducial_Mpc,pred_lcdm,chi2_contrib_lcdm,pred_LambdaCDM,chi2_contrib_LambdaCDM
6dFGS z=0.106,0.106,DV_over_rs,2.976,0.133,,3.04959,0.306118,3.04959,0.306118
SDSS MGS z=0.15,0.15,DV_over_rs,4.48,0.168,,4.25821,1.74291,4.25821,1.74291
BOSS DR12 Consensus z=0.38,0.38,DV_over_rs,9.1758,0.1453,,10.0048,32.5538,10.0048,32.5538
BOSS DR12 Consensus z=0.51,0.51,DV_over_rs,12.3631,0.1341,,12.8315,12.1981,12.8315,12.1981
BOSS DR12 Consensus z=0.61,0.61,DV_over_rs,14.3097,0.1345,,14.8093,13.7988,14.8093,13.7988
WiggleZ z=0.44,0.44,DV_over_rs,11.54,0.56,,11.3463,0.11964,11.3463,0.11964
WiggleZ z=0.60,0.6,DV_over_rs,14.94,0.68,,14.6189,0.222954,14.6189,0.222954
WiggleZ z=0.73,0.73,DV_over_rs,16.92,0.58,,16.9724,0.00817227,16.9724,0.00817227
eBOSS DR14 Quasar z=1.52,1.52,DV_over_rs,25.94,1.14,,26.8314,0.611404,26.8314,0.611404
eBOSS DR16 Quasar z=1.48 (DM/rs),1.48,DM_over_rs,30.35,0.84,,30.5809,0.0755775,30.5809,0.0755775
eBOSS DR16 Quasar z=1.48 (DH/rs),1.48,DH_over_rs,13.26,0.53,,13.4014,0.0712269,13.4014,0.0712269
eBOSS DR16 Lyman-alpha Combined z=2.334 (DM/rs),2.334,DM_over_rs,37.5,1.1,,39.9576,4.99176,39.9576,4.99176
eBOSS DR16 Lyman-alpha Combined z=2.334 (DH/rs),2.334,DH_over_rs,8.88,0.19,,8.99947,0.395408,8.99947,0.395408
